Year,Bajra,Barley,Jowar,Maize,Wheat,Bajra_area,Barley_area,Jowar_area,Maize_area,Wheat_area
1999,2509800.0,502300.0,267300.0,1222300.0,6701000.0,4600000.0,262600.0,559000.0,968700.0,2679800.0
2000,1800328.0,426352.0,153760.0,1022458.0,6879818.0,4183532.0,215787.0,535227.0,946350.0,2766290.0
2001,1300764.0,365249.0,173226.0,968657.0,6731932.0,3945217.0,180861.0,555945.0,933578.0,2650187.0
2002,2046659.0,408688.0,134525.0,1015326.0,5547100.0,4636922.0,225128.0,673962.0,969898.0,2309637.0
2003,3819783.0,446645.0,254398.0,1478871.0,6389030.0,5129949.0,173664.0,614653.0,1017433.0,2287498.0
2004,717945.0,447087.0,68484.0,870264.0,4878020.0,3215390.0,191945.0,532393.0,983553.0,1800659.0
2005,6669825.0,408791.0,527422.0,2069387.0,5875862.0,5868008.0,181815.0,738917.0,1110655.0,2103059.0
2006,3011054.0,416445.0,263900.0,1265243.0,5706871.0,4587712.0,175414.0,568620.0,1042511.0,2010241.0
2007,2168332.0,457997.0,169732.0,1103841.0,5865293.0,4993678.0,201626.0,592078.0,1004963.0,2123910.0
2008,3440400.0,591582.0,367816.0,1117941.0,7755883.0,4910409.0,232269.0,662055.0,1032079.0,2564840.0
2009,4240852.0,538982.0,392653.0,1961513.0,7126040.0,5108580.0,249165.0,623119.0,1055538.0,2592188.0
2010,4293938.0,878382.0,333003.0,1831110.0,7287074.0,5206162.0,286950.0,576689.0,1053878.0,2294858.0
2011,2034875.0,619766.0,104192.0,1144716.0,7500851.0,5223564.0,223440.0,718558.0,1100216.0,2394213.0
2012,6117800.0,934651.0,508877.0,2061424.0,10424350.0,5519448.0,327991.0,726914.0,1147191.0,3036141.0
